"STATION","DATE","AWND","DAEV","DAPR","DASF","EVAP","FMTM","MDEV","MDPR","MDSF","MNPN","MXPN","PGTM","PRCP","SN32","SN52","SNOW","SNWD","SX32","SX52","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03"
"USC00111577","2003-01-11",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"20","9","14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"32","11","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-13",,,,,,,,,,,,,"0.00",,,"0.1","0.0",,,,"29","19","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-14",,,,,,,,,,,,,"0.03",,,"0.7","1.0",,,,"19","10","10",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-15",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"22","5","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-16",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"26","16","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-17",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"24","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-18",,,,,,,,,,,,,"0.03",,,"1.2","1.0",,,,"21","6","13",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-19",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"29","3","24",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-20",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"24","14","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-21",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"19","8","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-22",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"15","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-23",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"12","-3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-24",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"17","3","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-25",,,,,,,,,,,,,"0.03",,,"0.4","0.0",,,,"35","15","21",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-26",,,,,,,,,,,,,"0.02",,,"0.5","1.0",,,,"21","5","5",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-27",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"19","0","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-28",,,,,,,,,,,,,"0.12",,,"1.8","2.0",,,,"33","19","29",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-29",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"29","21","24",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-30",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"31","23","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-01-31",,,,,,,,,,,,,"0.10",,,"0.4","0.0",,,,"36","31","33",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-01",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"34","32","34",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-02",,,,,,,,,,,,,"0.01",,,"0.0","0.0",,,,"37","34","35",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-03",,,,,,,,,,,,,"0.05",,,"0.0","0.0",,,,"45","33","33",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-04",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"33","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-05",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"27","8","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-06",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"34","17","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-07",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"18","9","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-08",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"31","11","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-09",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"26","7","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-10",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"30","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-11",,,,,,,,,,,,,"0.03",,,"0.5","1.0",,,,"32","7","14",,,,,,,,,"    1",,,,,,,,,,"    1",,,,,,,,,,
"USC00111577","2003-02-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"22","5","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-13",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"32","13","24",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-14",,,,,,,,,,,,,"0.13",,,"2.4","2.0",,,,"35","19","28",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-15",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"29","19","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-16",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"26","18","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-17",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"32","21","27",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-18",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"36","25","34",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-19",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"40","26","31",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-20",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"50","28","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-21",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"48","28","34",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-22",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"35","22","22",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-23",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"27","13","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-24",,,,,,,,,,,,,"0.03",,,"0.8","1.0",,,,"24","8","8",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-25",,,,,,,,,,,,,"0.00",,,"0.0","1.0",,,,"19","3","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-26",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"29","13","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-27",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"31","16","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-02-28",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"40","18","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-01",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"38","28","32",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-02",,,,,,,,,,,,,"0.02",,,"0.3","0.0",,,,"32","14","16",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-03",,,,,,,,,,,,,"0.09",,,"1.3","1.0",,,,"32","12","32",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-04",,,,,,,,,,,,,"0.34",,,"3.7","4.0",,,,"35","25","25",,,,,,,,,"    1",,,"    1",,,,,,,,,,,,,,,,,
"USC00111577","2003-03-05",,,,,,,,,,,,,"0.22",,,"2.6","6.0",,,,"26","22","22",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-06",,,,,,,,,,,,,"0.07",,,"1.1","4.0",,,,"29","19","23",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-07",,,,,,,,,,,,,"0.00",,,"0.0","3.0",,,,"36","23","32",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-08",,,,,,,,,,,,,"0.13",,,"0.0","3.0",,,,"44","15","15",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-09",,,,,,,,,,,,,"0.00",,,"0.0","3.0",,,,"15","8","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-10",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"21","5","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-11",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"44","18","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"45","34","34",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-13",,,,,,,,,,,,,"0.04",,,"0.0","0.0",,,,"35","29","29",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-14",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"55","27","42",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-15",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"52","34","46",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-16",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"68","44","52",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-17",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"72","42","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-18",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"48","39","40",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-19",,,,,,,,,,,,,"0.13",,,"0.0","0.0",,,,"49","39","46",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-20",,,,,,,,,,,,,"0.54",,,"0.0","0.0",,,,"65","44","52",,,,,,,,,"    1",,"    1",,"    1",,,,,,,,,,,,,,,,
"USC00111577","2003-03-21",,,,,,,,,,,,,"0.02",,,"0.0","0.0",,,,"52","39","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-22",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"47","39","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-23",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"63","43","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-24",,,,,,,,,,,,,"0.03",,,"0.0","0.0",,,,"76","47","52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-25",,,,,,,,,,,,,"0.06",,,"0.0","0.0",,,,"60","44","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-26",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"62","36","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-27",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"66","42","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-28",,,,,,,,,,,,,"0.36",,,"0.0","0.0",,,,"63","37","37",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-29",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"39","31","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-30",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"43","26","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-03-31",,,,,,,,,,,,,"0.06",,,"0.0","0.0",,,,"56","28","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-01",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"81","46","48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-02",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"73","42","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-03",,,,,,,,,,,,,"0.35",,,"0.0","0.0",,,,"52","40","42",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-04",,,,,,,,,,,,,"1.46",,,"0.0","0.0",,,,"42","33","33",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-05",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"35","27","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-06",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"39","31","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-07",,,,,,,,,,,,,"0.25",,,"2.9","2.0",,,,"36","30","33",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-08",,,,,,,,,,,,,"0.00",,,"0.0","2.0",,,,"34","32","33",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-09",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"44","31","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-10",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"56","29","41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-11",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"69","35","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"49","37","37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-13",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"66","34","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-14",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"85","51","70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-15",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"86","62","68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-16",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"68","45","45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-17",,,,,,,,,,,,,"0.02",,,"0.0","0.0",,,,"49","41","41",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-18",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"48","39","43",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-19",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"80","43","68",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-20",,,,,,,,,,,,,"0.12",,,"0.0","0.0",,,,"70","50","51",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-21",,,,,,,,,,,,,"0.02",,,"0.0","0.0",,,,"51","43","43",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-22",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"53","39","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-23",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"54","36","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-24",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"60","39","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-25",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"59","43","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-26",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"57","40","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-27",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"75","39","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-28",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"74","56","57",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-29",,,,,,,,,,,,,"0.03",,,"0.0","0.0",,,,"68","47","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-04-30",,,,,,,,,,,,,"1.19",,,"0.0","0.0",,,,"69","47","53",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-01",,,,,,,,,,,,,"1.18",,,"0.0","0.0",,,,"55","46","50",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-02",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"53","40","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-03",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"57","39","44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-04",,,,,,,,,,,,,"1.11",,,"0.0","0.0",,,,"60","41","53",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-05",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"72","53","56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-06",,,,,,,,,,,,,"0.11",,,"0.0","0.0",,,,"68","50","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-07",,,,,,,,,,,,,"0.01",,,"0.0","0.0",,,,"65","49","49",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-08",,,,,,,,,,,,,"0.40",,,"0.0","0.0",,,,"62","49","55",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-09",,,,,,,,,,,,,"0.95",,,"0.0","0.0",,,,"85","54","71",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-10",,,,,,,,,,,,,"0.64",,,"0.0","0.0",,,,"74","59","70",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-11",,,,,,,,,,,,,"0.10",,,"0.0","0.0",,,,"70","50","52",,,,,,,,,"    1",,,,,,,,,,"    1",,,,,,,,,,
"USC00111577","2003-05-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"67","51","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-13",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"73","48","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-14",,,,,,,,,,,,,"0.26",,,"0.0","0.0",,,,"59","49","50",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-15",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"55","47","50",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-16",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"64","50","51",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-17",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"69","51","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-18",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"71","51","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-19",,,,,,,,,,,,,"0.80",,,"0.0","0.0",,,,"74","60","68",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-20",,,,,,,,,,,,,"0.09",,,"0.0","0.0",,,,"68","50","50",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-21",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"57","46","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-22",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"61","44","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-23",,,,,,,,,,,,,"0.02",,,"0.0","0.0",,,,"64","47","47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-24",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"71","45","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-25",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"66","50","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-26",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"70","48","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-27",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"73","51","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-28",,,,,,,,,,,,,"0.15",,,"0.0","0.0",,,,"71","57","58",,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-29",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"67","52","53",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-30",,,,,,,,,,,,,"0.94",,,"0.0","0.0",,,,"71","50","58",,,,,,,,,"    1",,"    1",,,,,,,,,,,,,,,,,,
"USC00111577","2003-05-31",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"58","44","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-01",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"62","39","49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-02",,,,,,,,,,,,,"0.15",,,"0.0","0.0",,,,"68","45","54",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-03",,,,,,,,,,,,,"0.21",,,"0.0","0.0",,,,"62","52","55",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-04",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"68","54","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-05",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"78","49","62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-06",,,,,,,,,,,,,"0.10",,,"0.0","0.0",,,,"72","56","61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-07",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"77","59","65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-08",,,,,,,,,,,,,"0.20",,,"0.0","0.0",,,,"70","58","59",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-09",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"77","55","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-10",,,,,,,,,,,,,"0.08",,,"0.0","0.0",,,,"77","60","69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-11",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"69","54","56",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
"USC00111577","2003-06-12",,,,,,,,,,,,,"0.00",,,"0.0","0.0",,,,"70","56","60",,,,,,,,,"    1",,,,,,,,,,,,,,,,,,,,
